x:-30.9938 y:145.0000 v:0.6420
x:-31.1710 y:146.0000 v:0.6463
x:-31.3478 y:147.0000 v:0.6507
x:-31.5240 y:148.0000 v:0.6550
x:-31.6998 y:149.0000 v:0.6594
x:-31.8750 y:150.0000 v:0.6638
x:-32.0498 y:151.0000 v:0.6681
x:-32.2240 y:152.0000 v:0.6724
x:-32.3978 y:153.0000 v:0.6768
x:-32.5710 y:154.0000 v:0.6811
x:-32.7438 y:155.0000 v:0.6855
x:-32.9160 y:156.0000 v:0.6898
x:-33.0878 y:157.0000 v:0.6942
x:-33.2590 y:158.0000 v:0.6985
x:-33.4298 y:159.0000 v:0.7029
x:-33.6000 y:160.0000 v:0.7072
x:-33.7698 y:161.0000 v:0.7115
x:-33.9390 y:162.0000 v:0.7159
x:-34.1078 y:163.0000 v:0.7202
x:-34.2760 y:164.0000 v:0.7246
x:-34.4438 y:165.0000 v:0.7289
x:-34.6110 y:166.0000 v:0.7332
x:-34.7778 y:167.0000 v:0.7376
x:-34.9440 y:168.0000 v:0.7419
x:-35.1098 y:169.0000 v:0.7462
x:-35.2750 y:170.0000 v:0.7506
x:-35.4398 y:171.0000 v:0.7549
x:-35.6040 y:172.0000 v:0.7592
x:-35.7678 y:173.0000 v:0.7635
x:-35.9310 y:174.0000 v:0.7679
x:-36.0938 y:175.0000 v:0.7722
x:-36.2560 y:176.0000 v:0.7765
x:-36.4178 y:177.0000 v:0.7808
x:-36.5790 y:178.0000 v:0.7852
x:-36.7398 y:179.0000 v:0.7895
x:-36.9000 y:180.0000 v:0.7938
x:-37.0598 y:181.0000 v:0.7981
x:-37.2190 y:182.0000 v:0.8024
x:-37.3778 y:183.0000 v:0.8068
x:-37.5360 y:184.0000 v:0.8111
x:-37.6938 y:185.0000 v:0.8154
x:-37.8510 y:186.0000 v:0.8197
x:-38.0078 y:187.0000 v:0.8240
x:-38.1640 y:188.0000 v:0.8283
x:-38.3198 y:189.0000 v:0.8326
x:-38.4750 y:190.0000 v:0.8370
x:-38.6298 y:191.0000 v:0.8413
x:-38.7840 y:192.0000 v:0.8456
x:-38.9378 y:193.0000 v:0.8499
x:-39.0910 y:194.0000 v:0.8542
x:-39.2438 y:195.0000 v:0.8585
x:-39.3960 y:196.0000 v:0.8628
x:-39.5478 y:197.0000 v:0.8671
x:-39.6990 y:198.0000 v:0.8714
x:-39.8498 y:199.0000 v:0.8757
x:-40.0000 y:200.0000 v:0.8800
x:-40.1498 y:201.0000 v:0.8843
x:-40.2990 y:202.0000 v:0.8886
x:-40.4478 y:203.0000 v:0.8929
x:-40.5960 y:204.0000 v:0.8972
x:-40.7438 y:205.0000 v:0.9015
x:-40.8910 y:206.0000 v:0.9058
x:-41.0378 y:207.0000 v:0.9101
x:-41.1840 y:208.0000 v:0.9144
x:-41.3298 y:209.0000 v:0.9187
x:-41.4750 y:210.0000 v:0.9230
x:-41.6198 y:211.0000 v:0.9272
x:-41.7640 y:212.0000 v:0.9315
x:-41.9078 y:213.0000 v:0.9358
x:-42.0510 y:214.0000 v:0.9401
x:-42.1938 y:215.0000 v:0.9444
x:-42.3360 y:216.0000 v:0.9487
x:-42.4778 y:217.0000 v:0.9530
x:-42.6190 y:218.0000 v:0.9572
x:-42.7598 y:219.0000 v:0.9615
x:-42.9000 y:220.0000 v:0.9658
x:-43.0398 y:221.0000 v:0.9701
x:-43.1790 y:222.0000 v:0.9744
x:-43.3178 y:223.0000 v:0.9786
x:-43.4560 y:224.0000 v:0.9829
x:-43.5938 y:225.0000 v:0.9872
x:-43.7310 y:226.0000 v:0.9915
x:-43.8678 y:227.0000 v:0.9957
x:-44.0040 y:228.0000 v:1.0000
x:-44.1398 y:229.0000 v:1.0043
x:-44.2750 y:230.0000 v:1.0086
x:-44.4098 y:231.0000 v:1.0128
x:-44.5440 y:232.0000 v:1.0171
x:-44.6778 y:233.0000 v:1.0214
x:-44.8110 y:234.0000 v:1.0256
x:-44.9438 y:235.0000 v:1.0299
x:-45.0760 y:236.0000 v:1.0342
x:-45.2078 y:237.0000 v:1.0384
x:-45.3390 y:238.0000 v:1.0427
x:-45.4698 y:239.0000 v:1.0469
x:-45.6000 y:240.0000 v:1.0512
x:-45.7298 y:241.0000 v:1.0555
x:-45.8590 y:242.0000 v:1.0597
x:-45.9878 y:243.0000 v:1.0640
x:-46.1160 y:244.0000 v:1.0682
x:-46.2438 y:245.0000 v:1.0725
x:-46.3710 y:246.0000 v:1.0767
x:-46.4978 y:247.0000 v:1.0810
x:-46.6240 y:248.0000 v:1.0852
x:-46.7498 y:249.0000 v:1.0895
x:-46.8750 y:250.0000 v:1.0938
x:-46.9998 y:251.0000 v:1.0980
x:-47.1240 y:252.0000 v:1.1022
x:-47.2478 y:253.0000 v:1.1065
x:-47.3710 y:254.0000 v:1.1107
x:-47.4938 y:255.0000 v:1.1150
x:-47.6160 y:256.0000 v:1.1192
x:-47.7378 y:257.0000 v:1.1235
x:-47.8590 y:258.0000 v:1.1277
x:-47.9798 y:259.0000 v:1.1320
x:-48.1000 y:260.0000 v:1.1362
x:-48.2198 y:261.0000 v:1.1404
x:-48.3390 y:262.0000 v:1.1447
x:-48.4578 y:263.0000 v:1.1489
x:-48.5760 y:264.0000 v:1.1532
x:-48.6938 y:265.0000 v:1.1574
x:-48.8110 y:266.0000 v:1.1616
x:-48.9278 y:267.0000 v:1.1659
x:-49.0440 y:268.0000 v:1.1701
x:-49.1598 y:269.0000 v:1.1743
x:-49.2750 y:270.0000 v:1.1786
x:-49.3898 y:271.0000 v:1.1828
x:-49.5040 y:272.0000 v:1.1870
x:-49.6178 y:273.0000 v:1.1912
x:-49.7310 y:274.0000 v:1.1955
x:-49.8438 y:275.0000 v:1.1997
x:-49.9560 y:276.0000 v:1.2039
x:-50.0678 y:277.0000 v:1.2081
x:-50.1790 y:278.0000 v:1.2124
x:-50.2898 y:279.0000 v:1.2166
x:-50.4000 y:280.0000 v:1.2208
x:-50.5098 y:281.0000 v:1.2250
x:-50.6190 y:282.0000 v:1.2292
x:-50.7278 y:283.0000 v:1.2335
x:-50.8360 y:284.0000 v:1.2377
x:-50.9438 y:285.0000 v:1.2419
x:-51.0510 y:286.0000 v:1.2461
x:-51.1578 y:287.0000 v:1.2503
x:-51.2640 y:288.0000 v:1.2545
x:-51.3698 y:289.0000 v:1.2587
x:-51.4750 y:290.0000 v:1.2630
x:-51.5798 y:291.0000 v:1.2672
x:-51.6840 y:292.0000 v:1.2714
x:-51.7878 y:293.0000 v:1.2756
x:-51.8910 y:294.0000 v:1.2798
x:-51.9938 y:295.0000 v:1.2840
x:-52.0960 y:296.0000 v:1.2882
x:-52.1978 y:297.0000 v:1.2924
x:-52.2990 y:298.0000 v:1.2966
x:-52.3998 y:299.0000 v:1.3008
x:-52.5000 y:300.0000 v:1.3050
x:-52.5998 y:301.0000 v:1.3092
x:-52.6990 y:302.0000 v:1.3134
x:-52.7978 y:303.0000 v:1.3176
x:-52.8960 y:304.0000 v:1.3218
x:-52.9938 y:305.0000 v:1.3260
x:-53.0910 y:306.0000 v:1.3302
x:-53.1878 y:307.0000 v:1.3344
x:-53.2840 y:308.0000 v:1.3386
x:-53.3798 y:309.0000 v:1.3428
x:-53.4750 y:310.0000 v:1.3470
x:-53.5698 y:311.0000 v:1.3511
x:-53.6640 y:312.0000 v:1.3553
x:-53.7578 y:313.0000 v:1.3595
x:-53.8510 y:314.0000 v:1.3637
x:-53.9438 y:315.0000 v:1.3679
x:-54.0360 y:316.0000 v:1.3721
